Baselog0 |mouse_position0,0 |screenshot_no.1000000
Baselog1 |mouse_position147,350 |screenshot_no.1000001
Baselog2 |mouse_position115,236 |screenshot_no.1000002
Baselog3 |mouse_position147,350 |screenshot_no.1000003
Baselog4 |mouse_position147,399 |screenshot_no.1000004
Baselog5 |mouse_position147,427 |screenshot_no.1000005
Baselog6 |mouse_position147,475 |screenshot_no.1000006
Baselog7 |mouse_position147,509 |screenshot_no.1000007
Baselog8 |mouse_position147,547 |screenshot_no.1000008
Baselog9 |mouse_position147,579 |screenshot_no.1000009
Baselog10 |mouse_position147,621 |screenshot_no.1000010
Baselog11 |mouse_position147,657 |screenshot_no.1000011
Baselog12 |mouse_position147,690 |screenshot_no.1000012
Baselog13 |mouse_position147,730 |screenshot_no.1000013
Baselog14 |mouse_position147,765 |screenshot_no.1000014
Baselog15 |mouse_position350,236 |screenshot_no.1000015
Baselog16 |mouse_position147,350 |screenshot_no.1000016
Baselog17 |mouse_position147,399 |screenshot_no.1000017
Baselog18 |mouse_position147,427 |screenshot_no.1000018
Baselog19 |mouse_position147,475 |screenshot_no.1000019
Baselog20 |mouse_position147,509 |screenshot_no.1000020
Baselog21 |mouse_position147,547 |screenshot_no.1000021
Baselog22 |mouse_position147,579 |screenshot_no.1000022
Baselog23 |mouse_position147,621 |screenshot_no.1000023
Baselog24 |mouse_position147,657 |screenshot_no.1000024
Baselog25 |mouse_position147,690 |screenshot_no.1000025
Baselog26 |mouse_position585,236 |screenshot_no.1000026
Baselog27 |mouse_position147,350 |screenshot_no.1000027
Baselog28 |mouse_position147,399 |screenshot_no.1000028
Baselog29 |mouse_position820,236 |screenshot_no.1000029
Baselog30 |mouse_position147,350 |screenshot_no.1000030
Baselog31 |mouse_position147,399 |screenshot_no.1000031
Baselog32 |mouse_position147,427 |screenshot_no.1000032
Baselog33 |mouse_position147,475 |screenshot_no.1000033
Baselog34 |mouse_position147,509 |screenshot_no.1000034
Baselog35 |mouse_position147,547 |screenshot_no.1000035
Baselog36 |mouse_position147,579 |screenshot_no.1000036
Baselog37 |mouse_position147,621 |screenshot_no.1000037
Baselog38 |mouse_position147,657 |screenshot_no.1000038
Baselog39 |mouse_position147,690 |screenshot_no.1000039
Baselog40 |mouse_position147,730 |screenshot_no.1000040
Baselog41 |mouse_position1055,236 |screenshot_no.1000041
Baselog42 |mouse_position147,350 |screenshot_no.1000042
Baselog43 |mouse_position147,399 |screenshot_no.1000043
Baselog44 |mouse_position147,427 |screenshot_no.1000044
Baselog45 |mouse_position147,475 |screenshot_no.1000045
Baselog46 |mouse_position147,509 |screenshot_no.1000046
Baselog47 |mouse_position147,547 |screenshot_no.1000047
Baselog48 |mouse_position147,579 |screenshot_no.1000048
Baselog49 |mouse_position1290,236 |screenshot_no.1000049
Baselog50 |mouse_position147,350 |screenshot_no.1000050
Baselog51 |mouse_position147,399 |screenshot_no.1000051
Baselog52 |mouse_position147,427 |screenshot_no.1000052
Baselog53 |mouse_position1525,236 |screenshot_no.1000053
Baselog54 |mouse_position147,350 |screenshot_no.1000054
Baselog55 |mouse_position147,399 |screenshot_no.1000055
Baselog56 |mouse_position147,427 |screenshot_no.1000056
Baselog57 |mouse_position147,475 |screenshot_no.1000057
Baselog58 |mouse_position147,509 |screenshot_no.1000058
