failed tests:
Log1000002| base1000002.png vs test1000002.png | Fail | difference: 2113
Log1000003| base1000003.png vs test1000003.png | Fail | difference: 2113
Log1000018| base1000018.png vs test1000018.png | Fail | difference: 7081
Log1000021| base1000021.png vs test1000021.png | Fail | difference: 2081
Log1000025| base1000025.png vs test1000025.png | Fail | difference: 786
Log1000029| base1000029.png vs test1000029.png | Fail | difference: 23835
Log1000045| base1000045.png vs test1000045.png | Fail | difference: 483391
Log1000048| base1000048.png vs test1000048.png | Fail | difference: 95317

Logs: 
Log1000000| base1000000.png vs test1000000.png | Pass | difference: 0
Log1000001| base1000001.png vs test1000001.png | Pass | difference: 0
Log1000002| base1000002.png vs test1000002.png | Fail | difference: 2113
Log1000003| base1000003.png vs test1000003.png | Fail | difference: 2113
Log1000004| base1000004.png vs test1000004.png | Pass | difference: 0
Log1000005| base1000005.png vs test1000005.png | Pass | difference: 0
Log1000006| base1000006.png vs test1000006.png | Pass | difference: 0
Log1000007| base1000007.png vs test1000007.png | Pass | difference: 0
Log1000008| base1000008.png vs test1000008.png | Pass | difference: 0
Log1000009| base1000009.png vs test1000009.png | Pass | difference: 0
Log1000010| base1000010.png vs test1000010.png | Pass | difference: 0
Log1000011| base1000011.png vs test1000011.png | Pass | difference: 0
Log1000012| base1000012.png vs test1000012.png | Pass | difference: 0
Log1000013| base1000013.png vs test1000013.png | Pass | difference: 0
Log1000014| base1000014.png vs test1000014.png | Pass | difference: 0
Log1000015| base1000015.png vs test1000015.png | Pass | difference: 0
Log1000016| base1000016.png vs test1000016.png | Pass | difference: 0
Log1000017| base1000017.png vs test1000017.png | Pass | difference: 0
Log1000018| base1000018.png vs test1000018.png | Fail | difference: 7081
Log1000019| base1000019.png vs test1000019.png | Pass | difference: 0
Log1000020| base1000020.png vs test1000020.png | Pass | difference: 0
Log1000021| base1000021.png vs test1000021.png | Fail | difference: 2081
Log1000022| base1000022.png vs test1000022.png | Pass | difference: 0
Log1000023| base1000023.png vs test1000023.png | Pass | difference: 0
Log1000024| base1000024.png vs test1000024.png | Pass | difference: 0
Log1000025| base1000025.png vs test1000025.png | Fail | difference: 786
Log1000026| base1000026.png vs test1000026.png | Pass | difference: 0
Log1000027| base1000027.png vs test1000027.png | Pass | difference: 0
Log1000028| base1000028.png vs test1000028.png | Pass | difference: 0
Log1000029| base1000029.png vs test1000029.png | Fail | difference: 23835
Log1000030| base1000030.png vs test1000030.png | Pass | difference: 0
Log1000031| base1000031.png vs test1000031.png | Pass | difference: 0
Log1000032| base1000032.png vs test1000032.png | Pass | difference: 0
Log1000033| base1000033.png vs test1000033.png | Pass | difference: 0
Log1000034| base1000034.png vs test1000034.png | Pass | difference: 0
Log1000035| base1000035.png vs test1000035.png | Pass | difference: 0
Log1000036| base1000036.png vs test1000036.png | Pass | difference: 0
Log1000037| base1000037.png vs test1000037.png | Pass | difference: 0
Log1000038| base1000038.png vs test1000038.png | Pass | difference: 32
Log1000039| base1000039.png vs test1000039.png | Pass | difference: 0
Log1000040| base1000040.png vs test1000040.png | Pass | difference: 0
Log1000041| base1000041.png vs test1000041.png | Pass | difference: 0
Log1000042| base1000042.png vs test1000042.png | Pass | difference: 0
Log1000043| base1000043.png vs test1000043.png | Pass | difference: 0
Log1000044| base1000044.png vs test1000044.png | Pass | difference: 0
Log1000045| base1000045.png vs test1000045.png | Fail | difference: 483391
Log1000046| base1000046.png vs test1000046.png | Pass | difference: 0
Log1000047| base1000047.png vs test1000047.png | Pass | difference: 0
Log1000048| base1000048.png vs test1000048.png | Fail | difference: 95317
Log1000049| base1000049.png vs test1000049.png | Pass | difference: 0
Log1000050| base1000050.png vs test1000050.png | Pass | difference: 0
Log1000051| base1000051.png vs test1000051.png | Pass | difference: 0
Log1000052| base1000052.png vs test1000052.png | Pass | difference: 0
Log1000053| base1000053.png vs test1000053.png | Pass | difference: 0
Log1000054| base1000054.png vs test1000054.png | Pass | difference: 0
Log1000055| base1000055.png vs test1000055.png | Pass | difference: 0
Log1000056| base1000056.png vs test1000056.png | Pass | difference: 0
Log1000057| base1000057.png vs test1000057.png | Pass | difference: 0
Log1000058| base1000058.png vs test1000058.png | Pass | difference: 0
