Testlog0 |mouse_position0,0 |screenshot_no.1000000
Testlog1 |mouse_position147,350 |screenshot_no.1000001
Testlog2 |mouse_position115,236 |screenshot_no.1000002
Testlog3 |mouse_position147,350 |screenshot_no.1000003
Testlog4 |mouse_position147,399 |screenshot_no.1000004
Testlog5 |mouse_position147,427 |screenshot_no.1000005
Testlog6 |mouse_position147,475 |screenshot_no.1000006
Testlog7 |mouse_position147,509 |screenshot_no.1000007
Testlog8 |mouse_position147,547 |screenshot_no.1000008
Testlog9 |mouse_position147,579 |screenshot_no.1000009
Testlog10 |mouse_position147,621 |screenshot_no.1000010
Testlog11 |mouse_position147,657 |screenshot_no.1000011
Testlog12 |mouse_position147,690 |screenshot_no.1000012
Testlog13 |mouse_position147,730 |screenshot_no.1000013
Testlog14 |mouse_position147,765 |screenshot_no.1000014
Testlog15 |mouse_position350,236 |screenshot_no.1000015
Testlog16 |mouse_position147,350 |screenshot_no.1000016
Testlog17 |mouse_position147,399 |screenshot_no.1000017
Testlog18 |mouse_position147,427 |screenshot_no.1000018
Testlog19 |mouse_position147,475 |screenshot_no.1000019
Testlog20 |mouse_position147,509 |screenshot_no.1000020
Testlog21 |mouse_position147,547 |screenshot_no.1000021
Testlog22 |mouse_position147,579 |screenshot_no.1000022
Testlog23 |mouse_position147,621 |screenshot_no.1000023
Testlog24 |mouse_position147,657 |screenshot_no.1000024
Testlog25 |mouse_position147,690 |screenshot_no.1000025
Testlog26 |mouse_position585,236 |screenshot_no.1000026
Testlog27 |mouse_position147,350 |screenshot_no.1000027
Testlog28 |mouse_position147,399 |screenshot_no.1000028
Testlog29 |mouse_position820,236 |screenshot_no.1000029
Testlog30 |mouse_position147,350 |screenshot_no.1000030
Testlog31 |mouse_position147,399 |screenshot_no.1000031
Testlog32 |mouse_position147,427 |screenshot_no.1000032
Testlog33 |mouse_position147,475 |screenshot_no.1000033
Testlog34 |mouse_position147,509 |screenshot_no.1000034
Testlog35 |mouse_position147,547 |screenshot_no.1000035
Testlog36 |mouse_position147,579 |screenshot_no.1000036
Testlog37 |mouse_position147,621 |screenshot_no.1000037
Testlog38 |mouse_position147,657 |screenshot_no.1000038
Testlog39 |mouse_position147,690 |screenshot_no.1000039
Testlog40 |mouse_position147,730 |screenshot_no.1000040
Testlog41 |mouse_position1055,236 |screenshot_no.1000041
Testlog42 |mouse_position147,350 |screenshot_no.1000042
Testlog43 |mouse_position147,399 |screenshot_no.1000043
Testlog44 |mouse_position147,427 |screenshot_no.1000044
Testlog45 |mouse_position147,475 |screenshot_no.1000045
Testlog46 |mouse_position147,509 |screenshot_no.1000046
Testlog47 |mouse_position147,547 |screenshot_no.1000047
Testlog48 |mouse_position147,579 |screenshot_no.1000048
Testlog49 |mouse_position1290,236 |screenshot_no.1000049
Testlog50 |mouse_position147,350 |screenshot_no.1000050
Testlog51 |mouse_position147,399 |screenshot_no.1000051
Testlog52 |mouse_position147,427 |screenshot_no.1000052
Testlog53 |mouse_position1525,236 |screenshot_no.1000053
Testlog54 |mouse_position147,350 |screenshot_no.1000054
Testlog55 |mouse_position147,399 |screenshot_no.1000055
Testlog56 |mouse_position147,427 |screenshot_no.1000056
Testlog57 |mouse_position147,475 |screenshot_no.1000057
Testlog58 |mouse_position147,509 |screenshot_no.1000058
