Baselog0 |mouse_position0,0 |screenshot_no.1000000
Baselog1 |mouse_position147,350 |screenshot_no.1000001
Baselog2 |mouse_position147,350 |screenshot_no.1000003
Baselog3 |mouse_position147,350 |screenshot_no.1000004
Baselog4 |mouse_position147,350 |screenshot_no.1000005
Baselog5 |mouse_position147,399 |screenshot_no.1000007
Baselog6 |mouse_position147,399 |screenshot_no.1000008
Baselog7 |mouse_position147,399 |screenshot_no.1000009
Baselog8 |mouse_position147,427 |screenshot_no.1000011
Baselog9 |mouse_position147,427 |screenshot_no.1000012
Baselog10 |mouse_position147,427 |screenshot_no.1000013
Baselog11 |mouse_position147,475 |screenshot_no.1000015
Baselog12 |mouse_position147,475 |screenshot_no.1000016
Baselog13 |mouse_position147,475 |screenshot_no.1000017
Baselog14 |mouse_position147,509 |screenshot_no.1000019
Baselog15 |mouse_position147,509 |screenshot_no.1000020
Baselog16 |mouse_position147,509 |screenshot_no.1000021
Baselog17 |mouse_position147,547 |screenshot_no.1000023
Baselog18 |mouse_position147,547 |screenshot_no.1000024
Baselog19 |mouse_position147,547 |screenshot_no.1000025
Baselog20 |mouse_position147,579 |screenshot_no.1000027
Baselog21 |mouse_position147,579 |screenshot_no.1000028
Baselog22 |mouse_position147,579 |screenshot_no.1000029
Baselog23 |mouse_position147,621 |screenshot_no.1000031
Baselog24 |mouse_position147,621 |screenshot_no.1000032
Baselog25 |mouse_position147,621 |screenshot_no.1000033
Baselog26 |mouse_position147,657 |screenshot_no.1000035
Baselog27 |mouse_position147,657 |screenshot_no.1000036
Baselog28 |mouse_position147,657 |screenshot_no.1000037
Baselog29 |mouse_position147,690 |screenshot_no.1000039
Baselog30 |mouse_position147,690 |screenshot_no.1000040
Baselog31 |mouse_position147,690 |screenshot_no.1000041
Baselog32 |mouse_position147,730 |screenshot_no.1000043
Baselog33 |mouse_position147,730 |screenshot_no.1000044
Baselog34 |mouse_position147,730 |screenshot_no.1000045
Baselog35 |mouse_position147,765 |screenshot_no.1000047
Baselog36 |mouse_position147,765 |screenshot_no.1000048
Baselog37 |mouse_position147,765 |screenshot_no.1000049
Baselog38 |mouse_position147,350 |screenshot_no.1000051
Baselog39 |mouse_position147,350 |screenshot_no.1000052
Baselog40 |mouse_position147,350 |screenshot_no.1000053
Baselog41 |mouse_position147,399 |screenshot_no.1000055
Baselog42 |mouse_position147,399 |screenshot_no.1000056
Baselog43 |mouse_position147,399 |screenshot_no.1000057
Baselog44 |mouse_position147,475 |screenshot_no.1000059
Baselog45 |mouse_position147,475 |screenshot_no.1000060
Baselog46 |mouse_position147,475 |screenshot_no.1000061
Baselog47 |mouse_position147,509 |screenshot_no.1000063
Baselog48 |mouse_position147,509 |screenshot_no.1000064
Baselog49 |mouse_position147,509 |screenshot_no.1000065
Baselog50 |mouse_position147,579 |screenshot_no.1000067
Baselog51 |mouse_position147,579 |screenshot_no.1000068
Baselog52 |mouse_position147,579 |screenshot_no.1000069
Baselog53 |mouse_position147,621 |screenshot_no.1000071
Baselog54 |mouse_position147,621 |screenshot_no.1000072
Baselog55 |mouse_position147,621 |screenshot_no.1000073
Baselog56 |mouse_position147,657 |screenshot_no.1000075
Baselog57 |mouse_position147,657 |screenshot_no.1000076
Baselog58 |mouse_position147,657 |screenshot_no.1000077
Baselog59 |mouse_position147,350 |screenshot_no.1000079
Baselog60 |mouse_position147,350 |screenshot_no.1000080
Baselog61 |mouse_position147,350 |screenshot_no.1000081
Baselog62 |mouse_position147,399 |screenshot_no.1000083
Baselog63 |mouse_position147,399 |screenshot_no.1000084
Baselog64 |mouse_position147,399 |screenshot_no.1000085
Baselog65 |mouse_position147,350 |screenshot_no.1000087
Baselog66 |mouse_position147,350 |screenshot_no.1000088
Baselog67 |mouse_position147,350 |screenshot_no.1000089
Baselog68 |mouse_position147,427 |screenshot_no.1000091
Baselog69 |mouse_position147,427 |screenshot_no.1000092
Baselog70 |mouse_position147,427 |screenshot_no.1000093
Baselog71 |mouse_position147,547 |screenshot_no.1000095
Baselog72 |mouse_position147,547 |screenshot_no.1000096
Baselog73 |mouse_position147,547 |screenshot_no.1000097
Baselog74 |mouse_position147,399 |screenshot_no.1000099
Baselog75 |mouse_position147,399 |screenshot_no.1000100
Baselog76 |mouse_position147,399 |screenshot_no.1000101
