Testlog0 |mouse_position0,0 |screenshot_no.1000000
Testlog1 |mouse_position147,350 |screenshot_no.1000001
Testlog2 |mouse_position147,350 |screenshot_no.1000003
Testlog3 |mouse_position147,350 |screenshot_no.1000004
Testlog4 |mouse_position147,350 |screenshot_no.1000005
Testlog5 |mouse_position147,399 |screenshot_no.1000007
Testlog6 |mouse_position147,399 |screenshot_no.1000008
Testlog7 |mouse_position147,399 |screenshot_no.1000009
Testlog8 |mouse_position147,427 |screenshot_no.1000011
Testlog9 |mouse_position147,427 |screenshot_no.1000012
Testlog10 |mouse_position147,427 |screenshot_no.1000013
Testlog11 |mouse_position147,475 |screenshot_no.1000015
Testlog12 |mouse_position147,475 |screenshot_no.1000016
Testlog13 |mouse_position147,475 |screenshot_no.1000017
Testlog14 |mouse_position147,509 |screenshot_no.1000019
Testlog15 |mouse_position147,509 |screenshot_no.1000020
Testlog16 |mouse_position147,509 |screenshot_no.1000021
Testlog17 |mouse_position147,547 |screenshot_no.1000023
Testlog18 |mouse_position147,547 |screenshot_no.1000024
Testlog19 |mouse_position147,547 |screenshot_no.1000025
Testlog20 |mouse_position147,579 |screenshot_no.1000027
Testlog21 |mouse_position147,579 |screenshot_no.1000028
Testlog22 |mouse_position147,579 |screenshot_no.1000029
Testlog23 |mouse_position147,621 |screenshot_no.1000031
Testlog24 |mouse_position147,621 |screenshot_no.1000032
Testlog25 |mouse_position147,621 |screenshot_no.1000033
Testlog26 |mouse_position147,657 |screenshot_no.1000035
Testlog27 |mouse_position147,657 |screenshot_no.1000036
Testlog28 |mouse_position147,657 |screenshot_no.1000037
Testlog29 |mouse_position147,690 |screenshot_no.1000039
Testlog30 |mouse_position147,690 |screenshot_no.1000040
Testlog31 |mouse_position147,690 |screenshot_no.1000041
Testlog32 |mouse_position147,730 |screenshot_no.1000043
Testlog33 |mouse_position147,730 |screenshot_no.1000044
Testlog34 |mouse_position147,730 |screenshot_no.1000045
Testlog35 |mouse_position147,765 |screenshot_no.1000047
Testlog36 |mouse_position147,765 |screenshot_no.1000048
Testlog37 |mouse_position147,765 |screenshot_no.1000049
Testlog38 |mouse_position147,350 |screenshot_no.1000051
Testlog39 |mouse_position147,350 |screenshot_no.1000052
Testlog40 |mouse_position147,350 |screenshot_no.1000053
Testlog41 |mouse_position147,399 |screenshot_no.1000055
Testlog42 |mouse_position147,399 |screenshot_no.1000056
Testlog43 |mouse_position147,399 |screenshot_no.1000057
Testlog44 |mouse_position147,475 |screenshot_no.1000059
Testlog45 |mouse_position147,475 |screenshot_no.1000060
Testlog46 |mouse_position147,475 |screenshot_no.1000061
Testlog47 |mouse_position147,509 |screenshot_no.1000063
Testlog48 |mouse_position147,509 |screenshot_no.1000064
Testlog49 |mouse_position147,509 |screenshot_no.1000065
Testlog50 |mouse_position147,579 |screenshot_no.1000067
Testlog51 |mouse_position147,579 |screenshot_no.1000068
Testlog52 |mouse_position147,579 |screenshot_no.1000069
Testlog53 |mouse_position147,621 |screenshot_no.1000071
Testlog54 |mouse_position147,621 |screenshot_no.1000072
Testlog55 |mouse_position147,621 |screenshot_no.1000073
Testlog56 |mouse_position147,657 |screenshot_no.1000075
Testlog57 |mouse_position147,657 |screenshot_no.1000076
Testlog58 |mouse_position147,657 |screenshot_no.1000077
Testlog59 |mouse_position147,350 |screenshot_no.1000079
Testlog60 |mouse_position147,350 |screenshot_no.1000080
Testlog61 |mouse_position147,350 |screenshot_no.1000081
Testlog62 |mouse_position147,399 |screenshot_no.1000083
Testlog63 |mouse_position147,399 |screenshot_no.1000084
Testlog64 |mouse_position147,399 |screenshot_no.1000085
Testlog65 |mouse_position147,350 |screenshot_no.1000087
Testlog66 |mouse_position147,350 |screenshot_no.1000088
Testlog67 |mouse_position147,350 |screenshot_no.1000089
Testlog68 |mouse_position147,427 |screenshot_no.1000091
Testlog69 |mouse_position147,427 |screenshot_no.1000092
Testlog70 |mouse_position147,427 |screenshot_no.1000093
Testlog71 |mouse_position147,547 |screenshot_no.1000095
Testlog72 |mouse_position147,547 |screenshot_no.1000096
Testlog73 |mouse_position147,547 |screenshot_no.1000097
Testlog74 |mouse_position147,399 |screenshot_no.1000099
Testlog75 |mouse_position147,399 |screenshot_no.1000100
Testlog76 |mouse_position147,399 |screenshot_no.1000101
